,TOPIC,SUBTOPIC,SUBTOPIC_ID,TAXONOMY,TAXONOMY_ID,CLASSIFICATION,CLASSIFICATION_ID,GROUP,GROUP_ID,GROUP_ORDER,SUBGROUP,SUBGROUP_ID,SUBGROUP_ORDER,NESTING_LABEL,NESTING_LABEL_ID,ESTIMATE_TYPE,ESTIMATE_TYPE_ID,TIME_PERIOD,TIME_PERIOD_ID,ESTIMATE,STANDARD_ERROR,ESTIMATE_LCI,ESTIMATE_UCI,FLAG,FOOTNOTE_ID_LIST
9414,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Disability status,4,4,With disability,10,10,,,"Percent of population, crude",1,2019,,15.1,,13.6,16.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA13,FN_NHISA34,SC_NHISA00"
9415,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Disability status,4,4,With disability,10,10,,,"Percent of population, crude",1,2020,,13.1,,11.4,15.0,,"NT_NHISA00,NT_NHISA999,FN_NHISA13,FN_NHISA34,SC_NHISA00"
9416,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Disability status,4,4,With disability,10,10,,,"Percent of population, crude",1,2021,,12.3,,10.9,13.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA13,FN_NHISA34,SC_NHISA00"
9417,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Disability status,4,4,With disability,10,10,,,"Percent of population, crude",1,2022,,12.2,,10.6,13.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA13,FN_NHISA34,SC_NHISA00"
9418,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Disability status,4,4,With disability,10,10,,,"Percent of population, crude",1,2023,,13.0,,11.5,14.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA13,FN_NHISA34,SC_NHISA00"
9419,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Disability status,4,4,With disability,10,10,,,"Percent of population, crude",1,2024,,14.2,,12.7,15.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA13,FN_NHISA34,SC_NHISA00"
9420,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Disability status,4,4,Without disability,11,11,,,"Percent of population, crude",1,2019,,8.4,,8.0,8.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA13,FN_NHISA34,SC_NHISA00"
9421,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Disability status,4,4,Without disability,11,11,,,"Percent of population, crude",1,2020,,7.0,,6.6,7.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA13,FN_NHISA34,SC_NHISA00"
9422,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Disability status,4,4,Without disability,11,11,,,"Percent of population, crude",1,2021,,6.6,,6.3,7.0,,"NT_NHISA00,NT_NHISA999,FN_NHISA13,FN_NHISA34,SC_NHISA00"
9423,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Disability status,4,4,Without disability,11,11,,,"Percent of population, crude",1,2022,,6.5,,6.1,6.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA13,FN_NHISA34,SC_NHISA00"
9424,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Disability status,4,4,Without disability,11,11,,,"Percent of population, crude",1,2023,,6.6,,6.2,7.0,,"NT_NHISA00,NT_NHISA999,FN_NHISA13,FN_NHISA34,SC_NHISA00"
9425,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Disability status,4,4,Without disability,11,11,,,"Percent of population, crude",1,2024,,8.0,,7.6,8.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA13,FN_NHISA34,SC_NHISA00"
9426,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Functioning difficulties status,5,5,With functioning difficulties,12,12,,,"Percent of population, crude",1,2019,,12.2,,11.5,13.0,,"NT_NHISA00,NT_NHISA999,FN_NHISA73,FN_NHISA34,SC_NHISA00"
9427,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Functioning difficulties status,5,5,With functioning difficulties,12,12,,,"Percent of population, crude",1,2020,,10.7,,9.9,11.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA73,FN_NHISA34,SC_NHISA00"
9428,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Functioning difficulties status,5,5,With functioning difficulties,12,12,,,"Percent of population, crude",1,2021,,10.0,,9.4,10.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA73,FN_NHISA34,SC_NHISA00"
9429,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Functioning difficulties status,5,5,With functioning difficulties,12,12,,,"Percent of population, crude",1,2022,,9.9,,9.2,10.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA73,FN_NHISA34,SC_NHISA00"
9430,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Functioning difficulties status,5,5,With functioning difficulties,12,12,,,"Percent of population, crude",1,2023,,10.0,,9.4,10.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA73,FN_NHISA34,SC_NHISA00"
9431,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Functioning difficulties status,5,5,With functioning difficulties,12,12,,,"Percent of population, crude",1,2024,,11.6,,10.9,12.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA73,FN_NHISA34,SC_NHISA00"
9432,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Functioning difficulties status,5,5,Without functioning difficulties,13,13,,,"Percent of population, crude",1,2019,,6.8,,6.4,7.3,,"NT_NHISA00,NT_NHISA999,FN_NHISA73,FN_NHISA34,SC_NHISA00"
9433,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Functioning difficulties status,5,5,Without functioning difficulties,13,13,,,"Percent of population, crude",1,2020,,5.3,,4.8,5.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA73,FN_NHISA34,SC_NHISA00"
9434,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Functioning difficulties status,5,5,Without functioning difficulties,13,13,,,"Percent of population, crude",1,2021,,4.9,,4.5,5.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA73,FN_NHISA34,SC_NHISA00"
9435,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Functioning difficulties status,5,5,Without functioning difficulties,13,13,,,"Percent of population, crude",1,2022,,4.7,,4.3,5.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA73,FN_NHISA34,SC_NHISA00"
9436,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Functioning difficulties status,5,5,Without functioning difficulties,13,13,,,"Percent of population, crude",1,2023,,4.9,,4.5,5.3,,"NT_NHISA00,NT_NHISA999,FN_NHISA73,FN_NHISA34,SC_NHISA00"
9437,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Functioning difficulties status,5,5,Without functioning difficulties,13,13,,,"Percent of population, crude",1,2024,,6.0,,5.5,6.5,,"NT_NHISA00,NT_NHISA999,FN_NHISA73,FN_NHISA34,SC_NHISA00"
9438,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Marital status,6,6,Married,14,14,,,"Percent of population, crude",1,2019,,7.2,,6.7,7.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA34,SC_NHISA00"
9439,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Marital status,6,6,Married,14,14,,,"Percent of population, crude",1,2020,,5.9,,5.4,6.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA34,SC_NHISA00"
9440,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Marital status,6,6,Married,14,14,,,"Percent of population, crude",1,2021,,6.0,,5.5,6.5,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA34,SC_NHISA00"
9441,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Marital status,6,6,Married,14,14,,,"Percent of population, crude",1,2022,,5.3,,4.8,5.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA34,SC_NHISA00"
9442,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Marital status,6,6,Married,14,14,,,"Percent of population, crude",1,2023,,6.1,,5.6,6.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA34,SC_NHISA00"
9443,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Marital status,6,6,Married,14,14,,,"Percent of population, crude",1,2024,,7.5,,7.0,8.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA34,SC_NHISA00"
9444,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Marital status,6,6,Divorced or separated,15,15,,,"Percent of population, crude",1,2019,,14.0,,12.7,15.5,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA34,SC_NHISA00"
9445,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Marital status,6,6,Divorced or separated,15,15,,,"Percent of population, crude",1,2020,,11.2,,10.0,12.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA34,SC_NHISA00"
9446,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Marital status,6,6,Divorced or separated,15,15,,,"Percent of population, crude",1,2021,,9.6,,8.6,10.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA34,SC_NHISA00"
9447,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Marital status,6,6,Divorced or separated,15,15,,,"Percent of population, crude",1,2022,,8.9,,7.9,10.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA34,SC_NHISA00"
9448,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Marital status,6,6,Divorced or separated,15,15,,,"Percent of population, crude",1,2023,,9.6,,8.5,10.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA34,SC_NHISA00"
9449,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Marital status,6,6,Divorced or separated,15,15,,,"Percent of population, crude",1,2024,,10.9,,9.7,12.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA34,SC_NHISA00"
9450,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Marital status,6,6,Widowed,16,16,,,"Percent of population, crude",1,2019,,5.0,,4.1,6.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA34,SC_NHISA00"
9451,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Marital status,6,6,Widowed,16,16,,,"Percent of population, crude",1,2020,,4.6,,3.5,5.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA34,SC_NHISA00"
9452,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Marital status,6,6,Widowed,16,16,,,"Percent of population, crude",1,2021,,4.1,,3.3,5.0,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA34,SC_NHISA00"
9453,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Marital status,6,6,Widowed,16,16,,,"Percent of population, crude",1,2022,,5.3,,4.1,6.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA34,SC_NHISA00"
9454,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Marital status,6,6,Widowed,16,16,,,"Percent of population, crude",1,2023,,4.0,,3.2,5.0,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA34,SC_NHISA00"
9455,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Marital status,6,6,Widowed,16,16,,,"Percent of population, crude",1,2024,,4.6,,3.7,5.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA34,SC_NHISA00"
9456,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Marital status,6,6,Living with a partner,17,17,,,"Percent of population, crude",1,2019,,16.0,,14.2,17.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA34,SC_NHISA00"
9457,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Marital status,6,6,Living with a partner,17,17,,,"Percent of population, crude",1,2020,,13.6,,11.7,15.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA34,SC_NHISA00"
9458,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Marital status,6,6,Living with a partner,17,17,,,"Percent of population, crude",1,2021,,12.1,,10.4,14.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA34,SC_NHISA00"
9459,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Marital status,6,6,Living with a partner,17,17,,,"Percent of population, crude",1,2022,,11.8,,10.1,13.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA34,SC_NHISA00"
9460,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Marital status,6,6,Living with a partner,17,17,,,"Percent of population, crude",1,2023,,11.3,,9.7,13.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA34,SC_NHISA00"
9461,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Marital status,6,6,Living with a partner,17,17,,,"Percent of population, crude",1,2024,,13.1,,11.5,14.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA34,SC_NHISA00"
9462,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Marital status,6,6,Never married,18,18,,,"Percent of population, crude",1,2019,,9.0,,8.1,10.0,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA34,SC_NHISA00"
9463,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Marital status,6,6,Never married,18,18,,,"Percent of population, crude",1,2020,,7.9,,7.0,8.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA34,SC_NHISA00"
9464,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Marital status,6,6,Never married,18,18,,,"Percent of population, crude",1,2021,,7.4,,6.6,8.3,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA34,SC_NHISA00"
9465,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Marital status,6,6,Never married,18,18,,,"Percent of population, crude",1,2022,,8.3,,7.5,9.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA34,SC_NHISA00"
9466,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Marital status,6,6,Never married,18,18,,,"Percent of population, crude",1,2023,,7.9,,7.1,8.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA34,SC_NHISA00"
9467,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Marital status,6,6,Never married,18,18,,,"Percent of population, crude",1,2024,,9.5,,8.5,10.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA34,SC_NHISA00"
9468,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Nativity,7,7,U.S.-born,19,19,,,"Percent of population, crude",1,2019,,8.7,,8.2,9.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA12,FN_NHISA34,SC_NHISA00"
9469,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Nativity,7,7,U.S.-born,19,19,,,"Percent of population, crude",1,2020,,7.3,,6.9,7.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA12,FN_NHISA34,SC_NHISA00"
9470,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Nativity,7,7,U.S.-born,19,19,,,"Percent of population, crude",1,2021,,7.2,,6.8,7.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA12,FN_NHISA34,SC_NHISA00"
9471,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Nativity,7,7,U.S.-born,19,19,,,"Percent of population, crude",1,2022,,6.6,,6.2,7.0,,"NT_NHISA00,NT_NHISA999,FN_NHISA12,FN_NHISA34,SC_NHISA00"
9472,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Nativity,7,7,U.S.-born,19,19,,,"Percent of population, crude",1,2023,,6.9,,6.5,7.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA12,FN_NHISA34,SC_NHISA00"
9473,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Nativity,7,7,U.S.-born,19,19,,,"Percent of population, crude",1,2024,,8.7,,8.2,9.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA12,FN_NHISA34,SC_NHISA00"
9474,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Nativity,7,7,Foreign-born,20,20,,,"Percent of population, crude",1,2019,,10.2,,9.1,11.3,,"NT_NHISA00,NT_NHISA999,FN_NHISA12,FN_NHISA34,SC_NHISA00"
9475,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Nativity,7,7,Foreign-born,20,20,,,"Percent of population, crude",1,2020,,8.3,,7.2,9.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA12,FN_NHISA34,SC_NHISA00"
9476,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Nativity,7,7,Foreign-born,20,20,,,"Percent of population, crude",1,2021,,6.7,,5.8,7.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA12,FN_NHISA34,SC_NHISA00"
9477,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Nativity,7,7,Foreign-born,20,20,,,"Percent of population, crude",1,2022,,8.6,,7.5,9.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA12,FN_NHISA34,SC_NHISA00"
9478,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Nativity,7,7,Foreign-born,20,20,,,"Percent of population, crude",1,2023,,8.3,,7.4,9.3,,"NT_NHISA00,NT_NHISA999,FN_NHISA12,FN_NHISA34,SC_NHISA00"
9479,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Nativity,7,7,Foreign-born,20,20,,,"Percent of population, crude",1,2024,,8.4,,7.5,9.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA12,FN_NHISA34,SC_NHISA00"
9480,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Race,8,8,American Indian and Alaska Native only,21,21,,,"Percent of population, crude",1,2019,,10.5,,6.3,16.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA01,FN_NHISA34,SC_NHISA00"
9481,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Race,8,8,American Indian and Alaska Native only,21,21,,,"Percent of population, crude",1,2020,,6.1,,3.4,10.0,,"NT_NHISA00,NT_NHISA999,FN_NHISA01,FN_NHISA34,SC_NHISA00"
9482,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Race,8,8,American Indian and Alaska Native only,21,21,,,"Percent of population, crude",1,2021,,10.3,,6.7,14.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA01,FN_NHISA34,SC_NHISA00"
