topic,group,subgroup,year,estimate
Angina/angina pectoris,Race,Asian only,2021,1.0
Angina/angina pectoris,Race,Asian only,2022,1.4
Angina/angina pectoris,Race,Asian only,2023,0.8
Angina/angina pectoris,Race,Black only,2019,1.4
Angina/angina pectoris,Race,Black only,2020,1.4
Angina/angina pectoris,Race,Black only,2021,1.0
Angina/angina pectoris,Race,Black only,2022,1.1
Angina/angina pectoris,Race,Black only,2023,1.2
Angina/angina pectoris,Race,White only,2019,1.8
Angina/angina pectoris,Race,White only,2020,1.6
Angina/angina pectoris,Race,White only,2021,1.6
Angina/angina pectoris,Race,White only,2022,1.8
Angina/angina pectoris,Race,White only,2023,1.8
Angina/angina pectoris,Race,American Indian and Alaska Native and White,2020,2.2
Angina/angina pectoris,Race,Black and White,2020,0.1
Angina/angina pectoris,Race,Black and White,2021,1.1
Angina/angina pectoris,Race,Black and White,2022,0.7
Angina/angina pectoris,Race and Hispanic origin,"All races, Hispanic",2019,1.5
Angina/angina pectoris,Race and Hispanic origin,"All races, Hispanic",2020,0.7
Angina/angina pectoris,Race and Hispanic origin,"All races, Hispanic",2021,1.1
Angina/angina pectoris,Race and Hispanic origin,"All races, Hispanic",2022,1.2
Angina/angina pectoris,Race and Hispanic origin,"All races, Hispanic",2023,1.3
Angina/angina pectoris,Race and Hispanic origin,"All races, Hispanic, Mexican",2019,1.3
Angina/angina pectoris,Race and Hispanic origin,"All races, Hispanic, Mexican",2020,0.8
Angina/angina pectoris,Race and Hispanic origin,"All races, Hispanic, Mexican",2021,0.8
Angina/angina pectoris,Race and Hispanic origin,"All races, Hispanic, Mexican",2022,0.9
Angina/angina pectoris,Race and Hispanic origin,"All races, Hispanic, Mexican",2023,1.1
Angina/angina pectoris,Race and Hispanic origin,"All races, non-Hispanic",2019,1.7
Angina/angina pectoris,Race and Hispanic origin,"All races, non-Hispanic",2020,1.6
Angina/angina pectoris,Race and Hispanic origin,"All races, non-Hispanic",2021,1.6
Angina/angina pectoris,Race and Hispanic origin,"All races, non-Hispanic",2022,1.7
Angina/angina pectoris,Race and Hispanic origin,"All races, non-Hispanic",2023,1.7
Angina/angina pectoris,Race and Hispanic origin,"Black only, non-Hispanic",2019,1.3
Angina/angina pectoris,Race and Hispanic origin,"Black only, non-Hispanic",2020,1.4
Angina/angina pectoris,Race and Hispanic origin,"Black only, non-Hispanic",2021,1.1
Angina/angina pectoris,Race and Hispanic origin,"Black only, non-Hispanic",2022,1.0
Angina/angina pectoris,Race and Hispanic origin,"Black only, non-Hispanic",2023,1.3
Angina/angina pectoris,Race and Hispanic origin,"White only, non-Hispanic",2019,1.8
Angina/angina pectoris,Race and Hispanic origin,"White only, non-Hispanic",2020,1.7
Angina/angina pectoris,Race and Hispanic origin,"White only, non-Hispanic",2021,1.7
Angina/angina pectoris,Race and Hispanic origin,"White only, non-Hispanic",2022,1.9
Angina/angina pectoris,Race and Hispanic origin,"White only, non-Hispanic",2023,1.8
Angina/angina pectoris,Race and Hispanic origin,"Other races, non-Hispanic",2019,1.3
Angina/angina pectoris,Race and Hispanic origin,"Other races, non-Hispanic",2020,1.2
Angina/angina pectoris,Race and Hispanic origin,"Other races, non-Hispanic",2021,1.5
Angina/angina pectoris,Race and Hispanic origin,"Other races, non-Hispanic",2022,1.5
Angina/angina pectoris,Race and Hispanic origin,"Other races, non-Hispanic",2023,1.1
Angina/angina pectoris,Sex,Female,2019,1.6
Angina/angina pectoris,Sex,Female,2020,1.3
Angina/angina pectoris,Sex,Female,2021,1.3
Angina/angina pectoris,Sex,Female,2022,1.4
Angina/angina pectoris,Sex,Female,2023,1.4
Angina/angina pectoris,Sex,Male,2019,1.7
Angina/angina pectoris,Sex,Male,2020,1.6
Angina/angina pectoris,Sex,Male,2021,1.7
Angina/angina pectoris,Sex,Male,2022,1.9
Angina/angina pectoris,Sex,Male,2023,1.8
Angina/angina pectoris,Sexual orientation,Bisexual,2019,2.3
Angina/angina pectoris,Sexual orientation,Bisexual,2020,0.8
Angina/angina pectoris,Sexual orientation,Bisexual,2021,1.0
Angina/angina pectoris,Sexual orientation,Bisexual,2022,0.6
Angina/angina pectoris,Sexual orientation,Bisexual,2023,0.1
Angina/angina pectoris,Sexual orientation,Gay or Lesbian,2019,1.3
Angina/angina pectoris,Sexual orientation,Gay or Lesbian,2020,1.1
Angina/angina pectoris,Sexual orientation,Gay or Lesbian,2021,0.8
Angina/angina pectoris,Sexual orientation,Gay or Lesbian,2022,1.5
Angina/angina pectoris,Sexual orientation,Gay or Lesbian,2023,1.3
Angina/angina pectoris,Sexual orientation,Straight,2019,1.7
Angina/angina pectoris,Sexual orientation,Straight,2020,1.5
Angina/angina pectoris,Sexual orientation,Straight,2021,1.5
Angina/angina pectoris,Sexual orientation,Straight,2022,1.7
Angina/angina pectoris,Sexual orientation,Straight,2023,1.6
Angina/angina pectoris,Veteran status,Veteran,2019,3.1
Angina/angina pectoris,Veteran status,Veteran,2020,3.3
Angina/angina pectoris,Veteran status,Veteran,2021,4.0
Angina/angina pectoris,Veteran status,Veteran,2022,4.0
Angina/angina pectoris,Veteran status,Veteran,2023,3.7
Angina/angina pectoris,Veteran status,Non-veteran,2019,1.5
Angina/angina pectoris,Veteran status,Non-veteran,2020,1.3
Angina/angina pectoris,Veteran status,Non-veteran,2021,1.3
Angina/angina pectoris,Veteran status,Non-veteran,2022,1.5
Angina/angina pectoris,Veteran status,Non-veteran,2023,1.4
Angina/angina pectoris,Metropolitan statistical area,Large MSA,2019,1.4
Angina/angina pectoris,Metropolitan statistical area,Large MSA,2020,1.1
Angina/angina pectoris,Metropolitan statistical area,Large MSA,2021,1.3
Angina/angina pectoris,Metropolitan statistical area,Large MSA,2022,1.3
Angina/angina pectoris,Metropolitan statistical area,Large MSA,2023,1.3
Angina/angina pectoris,Metropolitan statistical area,Small MSA,2019,1.7
Angina/angina pectoris,Metropolitan statistical area,Small MSA,2020,1.6
Angina/angina pectoris,Metropolitan statistical area,Small MSA,2021,1.7
Angina/angina pectoris,Metropolitan statistical area,Small MSA,2022,1.7
Angina/angina pectoris,Metropolitan statistical area,Small MSA,2023,1.8
Angina/angina pectoris,Metropolitan statistical area,Non-MSA,2019,2.9
Angina/angina pectoris,Metropolitan statistical area,Non-MSA,2020,2.4
Angina/angina pectoris,Metropolitan statistical area,Non-MSA,2021,2.1
Angina/angina pectoris,Metropolitan statistical area,Non-MSA,2022,2.7
Angina/angina pectoris,Metropolitan statistical area,Non-MSA,2023,2.4
Angina/angina pectoris,Region,Northeast,2019,1.9
Angina/angina pectoris,Region,Northeast,2020,1.3
Angina/angina pectoris,Region,Northeast,2021,1.3
Angina/angina pectoris,Region,Northeast,2022,1.6
Angina/angina pectoris,Region,Northeast,2023,1.7
Angina/angina pectoris,Region,Midwest,2019,1.5
Angina/angina pectoris,Region,Midwest,2020,1.5
Angina/angina pectoris,Region,Midwest,2021,1.7
Angina/angina pectoris,Region,Midwest,2022,1.5
Angina/angina pectoris,Region,Midwest,2023,1.4
Angina/angina pectoris,Region,South,2019,1.8
Angina/angina pectoris,Region,South,2020,1.7
Angina/angina pectoris,Region,South,2021,1.6
Angina/angina pectoris,Region,South,2022,1.8
Angina/angina pectoris,Region,South,2023,1.7
Angina/angina pectoris,Region,West,2019,1.5
Angina/angina pectoris,Region,West,2020,1.2
Angina/angina pectoris,Region,West,2021,1.4
Angina/angina pectoris,Region,West,2022,1.5
Angina/angina pectoris,Region,West,2023,1.5
Angina/angina pectoris,Social vulnerability,Little to no social vulnerability,2019,1.3
Angina/angina pectoris,Social vulnerability,Little to no social vulnerability,2020,1.4
Angina/angina pectoris,Social vulnerability,Little to no social vulnerability,2021,1.3
Angina/angina pectoris,Social vulnerability,Little to no social vulnerability,2022,1.7
Angina/angina pectoris,Social vulnerability,Little to no social vulnerability,2023,1.3
Angina/angina pectoris,Social vulnerability,Low social vulnerability,2019,1.5
Angina/angina pectoris,Social vulnerability,Low social vulnerability,2020,1.3
Angina/angina pectoris,Social vulnerability,Low social vulnerability,2021,1.3
Angina/angina pectoris,Social vulnerability,Low social vulnerability,2022,1.7
Angina/angina pectoris,Social vulnerability,Low social vulnerability,2023,1.5
Angina/angina pectoris,Social vulnerability,Medium social vulnerability,2019,1.7
Angina/angina pectoris,Social vulnerability,Medium social vulnerability,2020,1.6
Angina/angina pectoris,Social vulnerability,Medium social vulnerability,2021,1.7
Angina/angina pectoris,Social vulnerability,Medium social vulnerability,2022,1.7
Angina/angina pectoris,Social vulnerability,Medium social vulnerability,2023,1.7
Angina/angina pectoris,Social vulnerability,High social vulnerability,2019,2.1
Angina/angina pectoris,Social vulnerability,High social vulnerability,2020,1.5
Angina/angina pectoris,Social vulnerability,High social vulnerability,2021,1.6
Angina/angina pectoris,Social vulnerability,High social vulnerability,2022,1.5
Angina/angina pectoris,Social vulnerability,High social vulnerability,2023,1.7
Angina/angina pectoris,Urbanicity,Large central metro,2019,1.3
Angina/angina pectoris,Urbanicity,Large central metro,2020,1.0
Angina/angina pectoris,Urbanicity,Large central metro,2021,1.3
Angina/angina pectoris,Urbanicity,Large central metro,2022,1.2
Angina/angina pectoris,Urbanicity,Large central metro,2023,1.2
Angina/angina pectoris,Urbanicity,Large fringe metro,2019,1.5
Angina/angina pectoris,Urbanicity,Large fringe metro,2020,1.3
Angina/angina pectoris,Urbanicity,Large fringe metro,2021,1.2
Angina/angina pectoris,Urbanicity,Large fringe metro,2022,1.5
Angina/angina pectoris,Urbanicity,Large fringe metro,2023,1.4
Angina/angina pectoris,Urbanicity,Medium and small metro,2019,1.7
Angina/angina pectoris,Urbanicity,Medium and small metro,2020,1.6
Angina/angina pectoris,Urbanicity,Medium and small metro,2021,1.7
Angina/angina pectoris,Urbanicity,Medium and small metro,2022,1.7
Angina/angina pectoris,Urbanicity,Medium and small metro,2023,1.8
Angina/angina pectoris,Urbanicity,Nonmetropolitan,2019,2.9
Angina/angina pectoris,Urbanicity,Nonmetropolitan,2020,2.4
Angina/angina pectoris,Urbanicity,Nonmetropolitan,2021,2.1
Angina/angina pectoris,Urbanicity,Nonmetropolitan,2022,2.7
Angina/angina pectoris,Urbanicity,Nonmetropolitan,2023,2.4
Angina/angina pectoris,Education,No high school diploma or GED,2019,3.4
Angina/angina pectoris,Education,No high school diploma or GED,2020,2.7
Angina/angina pectoris,Education,No high school diploma or GED,2021,2.3
Angina/angina pectoris,Education,No high school diploma or GED,2022,3.0
Angina/angina pectoris,Education,No high school diploma or GED,2023,3.1
Angina/angina pectoris,Education,High school diploma or GED,2019,2.0
Angina/angina pectoris,Education,High school diploma or GED,2020,1.9
Angina/angina pectoris,Education,High school diploma or GED,2021,1.9
Angina/angina pectoris,Education,High school diploma or GED,2022,2.2
Angina/angina pectoris,Education,High school diploma or GED,2023,2.1
Angina/angina pectoris,Education,Some college,2019,2.1
Angina/angina pectoris,Education,Some college,2020,1.6
Angina/angina pectoris,Education,Some college,2021,2.2
Angina/angina pectoris,Education,Some college,2022,2.0
Angina/angina pectoris,Education,Some college,2023,1.9
Angina/angina pectoris,Education,College degree or higher,2019,1.0
Angina/angina pectoris,Education,College degree or higher,2020,1.0
Angina/angina pectoris,Education,College degree or higher,2021,1.0
Angina/angina pectoris,Education,College degree or higher,2022,1.1
Angina/angina pectoris,Education,College degree or higher,2023,1.2
Angina/angina pectoris,Employment status,Employed,2019,0.7
Angina/angina pectoris,Employment status,Employed,2020,0.6
Angina/angina pectoris,Employment status,Employed,2021,0.6
Angina/angina pectoris,Employment status,Employed,2022,0.6
Angina/angina pectoris,Employment status,Employed,2023,0.8
Angina/angina pectoris,Employment status,Employed - Full-time,2019,0.6
Angina/angina pectoris,Employment status,Employed - Full-time,2020,0.5
Angina/angina pectoris,Employment status,Employed - Full-time,2021,0.6
Angina/angina pectoris,Employment status,Employed - Full-time,2022,0.5
Angina/angina pectoris,Employment status,Employed - Full-time,2023,0.7
Angina/angina pectoris,Employment status,Employed - Part-time,2019,1.1
Angina/angina pectoris,Employment status,Employed - Part-time,2020,1.0
Angina/angina pectoris,Employment status,Employed - Part-time,2021,0.8
Angina/angina pectoris,Employment status,Employed - Part-time,2022,1.2
Angina/angina pectoris,Employment status,Employed - Part-time,2023,1.2
Angina/angina pectoris,Employment status,Not employed,2019,3.4
Angina/angina pectoris,Employment status,Not employed,2020,2.8
Angina/angina pectoris,Employment status,Not employed,2021,3.0
Angina/angina pectoris,Employment status,Not employed,2022,3.4
Angina/angina pectoris,Employment status,Not employed,2023,3.0
Angina/angina pectoris,Employment status,Not employed - Has worked previously,2019,3.6
Angina/angina pectoris,Employment status,Not employed - Has worked previously,2020,2.9
Angina/angina pectoris,Employment status,Not employed - Has worked previously,2021,3.1
Angina/angina pectoris,Employment status,Not employed - Has worked previously,2022,3.6
Angina/angina pectoris,Employment status,Not employed - Has worked previously,2023,3.2
Angina/angina pectoris,Employment status,Not employed - Has never worked,2019,1.3
Angina/angina pectoris,Employment status,Not employed - Has never worked,2021,1.4
Angina/angina pectoris,Employment status,Not employed - Has never worked,2022,0.8
Angina/angina pectoris,Employment status,Not employed - Has never worked,2023,0.6
Angina/angina pectoris,Health insurance coverage: 65 years and older,Private,2019,3.4
Angina/angina pectoris,Health insurance coverage: 65 years and older,Private,2020,4.4
Angina/angina pectoris,Health insurance coverage: 65 years and older,Private,2021,3.4
Angina/angina pectoris,Health insurance coverage: 65 years and older,Private,2022,4.2
Angina/angina pectoris,Health insurance coverage: 65 years and older,Private,2023,3.8
Angina/angina pectoris,Health insurance coverage: 65 years and older,Medicare and Medicaid,2019,8.6
Angina/angina pectoris,Health insurance coverage: 65 years and older,Medicare and Medicaid,2020,6.2
Angina/angina pectoris,Health insurance coverage: 65 years and older,Medicare and Medicaid,2021,5.3
Angina/angina pectoris,Health insurance coverage: 65 years and older,Medicare and Medicaid,2022,8.9
Angina/angina pectoris,Health insurance coverage: 65 years and older,Medicare and Medicaid,2023,5.7
Angina/angina pectoris,Health insurance coverage: 65 years and older,Medicare Advantage,2019,4.0
Angina/angina pectoris,Health insurance coverage: 65 years and older,Medicare Advantage,2020,3.0
Angina/angina pectoris,Health insurance coverage: 65 years and older,Medicare Advantage,2021,3.4
Angina/angina pectoris,Health insurance coverage: 65 years and older,Medicare Advantage,2022,3.8
Angina/angina pectoris,Health insurance coverage: 65 years and older,Medicare Advantage,2023,3.5
Angina/angina pectoris,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,2019,4.2
Angina/angina pectoris,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,2020,3.4
Angina/angina pectoris,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,2021,2.9
Angina/angina pectoris,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,2022,4.0
Angina/angina pectoris,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,2023,3.0
Angina/angina pectoris,Health insurance coverage: 65 years and older,Other government coverage,2019,6.7
Angina/angina pectoris,Health insurance coverage: 65 years and older,Other government coverage,2020,4.4
Angina/angina pectoris,Health insurance coverage: 65 years and older,Other government coverage,2021,5.3
Angina/angina pectoris,Health insurance coverage: 65 years and older,Other government coverage,2022,6.0
Angina/angina pectoris,Health insurance coverage: 65 years and older,Other government coverage,2023,4.2
Angina/angina pectoris,Health insurance coverage: Younger than 65 years,Private,2019,0.7
Angina/angina pectoris,Health insurance coverage: Younger than 65 years,Private,2020,0.5
Angina/angina pectoris,Health insurance coverage: Younger than 65 years,Private,2021,0.6
Angina/angina pectoris,Health insurance coverage: Younger than 65 years,Private,2022,0.5
Angina/angina pectoris,Health insurance coverage: Younger than 65 years,Private,2023,0.7
Angina/angina pectoris,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,2019,2.3
Angina/angina pectoris,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,2020,1.4
Angina/angina pectoris,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,2021,2.0
Angina/angina pectoris,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,2022,1.9
Angina/angina pectoris,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,2023,1.7
Angina/angina pectoris,Health insurance coverage: Younger than 65 years,Other government coverage,2019,2.2
Angina/angina pectoris,Health insurance coverage: Younger than 65 years,Other government coverage,2020,3.0
Angina/angina pectoris,Health insurance coverage: Younger than 65 years,Other government coverage,2021,2.4
Angina/angina pectoris,Health insurance coverage: Younger than 65 years,Other government coverage,2022,2.2
Angina/angina pectoris,Health insurance coverage: Younger than 65 years,Other government coverage,2023,3.1
Angina/angina pectoris,Health insurance coverage: Younger than 65 years,Uninsured,2019,0.7
Angina/angina pectoris,Health insurance coverage: Younger than 65 years,Uninsured,2020,0.6
Angina/angina pectoris,Health insurance coverage: Younger than 65 years,Uninsured,2021,0.7
Angina/angina pectoris,Health insurance coverage: Younger than 65 years,Uninsured,2022,0.7
Angina/angina pectoris,Health insurance coverage: Younger than 65 years,Uninsured,2023,0.9
Angina/angina pectoris,Poverty level,<100% FPL,2019,3.0
Angina/angina pectoris,Poverty level,<100% FPL,2020,2.6
Angina/angina pectoris,Poverty level,<100% FPL,2021,2.4
Angina/angina pectoris,Poverty level,<100% FPL,2022,3.1
Angina/angina pectoris,Poverty level,<100% FPL,2023,2.8
Angina/angina pectoris,Poverty level,100% to <200% FPL,2019,2.1
Angina/angina pectoris,Poverty level,100% to <200% FPL,2020,2.1
Angina/angina pectoris,Poverty level,100% to <200% FPL,2021,2.3
Angina/angina pectoris,Poverty level,100% to <200% FPL,2022,2.1
Angina/angina pectoris,Poverty level,100% to <200% FPL,2023,2.0
Angina/angina pectoris,Poverty level,≥200% FPL,2019,1.4
Angina/angina pectoris,Poverty level,≥200% FPL,2020,1.1
Angina/angina pectoris,Poverty level,≥200% FPL,2021,1.2
Angina/angina pectoris,Poverty level,≥200% FPL,2022,1.3
Angina/angina pectoris,Poverty level,≥200% FPL,2023,1.3
Any cancer type,Total,18 years and older,2019,9.5
Any cancer type,Total,18 years and older,2020,9.6
Any cancer type,Total,18 years and older,2021,9.8
Any cancer type,Total,18 years and older,2022,9.6
Any cancer type,Total,18 years and older,2023,9.7
Any cancer type,Age groups with 65 years and older,18-34 years,2019,1.3
Any cancer type,Age groups with 65 years and older,18-34 years,2020,0.8
Any cancer type,Age groups with 65 years and older,18-34 years,2021,1.3
Any cancer type,Age groups with 65 years and older,18-34 years,2022,1.0
Any cancer type,Age groups with 65 years and older,18-34 years,2023,0.8
Any cancer type,Age groups with 65 years and older,35-49 years,2019,4.2
Any cancer type,Age groups with 65 years and older,35-49 years,2020,4.7
Any cancer type,Age groups with 65 years and older,35-49 years,2021,4.2
Any cancer type,Age groups with 65 years and older,35-49 years,2022,3.6
Any cancer type,Age groups with 65 years and older,35-49 years,2023,4.4
Any cancer type,Age groups with 65 years and older,50-64 years,2019,11.0
Any cancer type,Age groups with 65 years and older,50-64 years,2020,11.0
Any cancer type,Age groups with 65 years and older,50-64 years,2021,10.7
Any cancer type,Age groups with 65 years and older,50-64 years,2022,11.1
Any cancer type,Age groups with 65 years and older,50-64 years,2023,11.0
Any cancer type,Age groups with 65 years and older,65 years and older,2019,25.4
Any cancer type,Age groups with 65 years and older,65 years and older,2020,25.7
Any cancer type,Age groups with 65 years and older,65 years and older,2021,26.0
Any cancer type,Age groups with 65 years and older,65 years and older,2022,25.8
Any cancer type,Age groups with 65 years and older,65 years and older,2023,25.5
Any cancer type,Age groups with 75 years and older,18-44 years,2019,2.0
Any cancer type,Age groups with 75 years and older,18-44 years,2020,1.9
Any cancer type,Age groups with 75 years and older,18-44 years,2021,2.2
Any cancer type,Age groups with 75 years and older,18-44 years,2022,1.8
Any cancer type,Age groups with 75 years and older,18-44 years,2023,2.0
Any cancer type,Age groups with 75 years and older,45-64 years,2019,9.7
Any cancer type,Age groups with 75 years and older,45-64 years,2020,9.8
Any cancer type,Age groups with 75 years and older,45-64 years,2021,9.4
Any cancer type,Age groups with 75 years and older,45-64 years,2022,9.4
Any cancer type,Age groups with 75 years and older,45-64 years,2023,9.7
Any cancer type,Age groups with 75 years and older,65-74 years,2019,21.7
Any cancer type,Age groups with 75 years and older,65-74 years,2020,21.3
Any cancer type,Age groups with 75 years and older,65-74 years,2021,22.7
Any cancer type,Age groups with 75 years and older,65-74 years,2022,22.0
Any cancer type,Age groups with 75 years and older,65-74 years,2023,20.6
Any cancer type,Age groups with 75 years and older,75 years and older,2019,30.7
Any cancer type,Age groups with 75 years and older,75 years and older,2020,32.1
Any cancer type,Age groups with 75 years and older,75 years and older,2021,30.9
Any cancer type,Age groups with 75 years and older,75 years and older,2022,31.3
Any cancer type,Age groups with 75 years and older,75 years and older,2023,32.6
Any cancer type,Disability status,With disability,2019,19.3
Any cancer type,Disability status,With disability,2020,19.7
Any cancer type,Disability status,With disability,2021,19.6
Any cancer type,Disability status,With disability,2022,19.4
Any cancer type,Disability status,With disability,2023,18.0
Any cancer type,Disability status,Without disability,2019,8.5
Any cancer type,Disability status,Without disability,2020,8.7
